;в городе;в сел.мест
Владимирская;56,96;53,59
Воронежская;60,08;59,09
Костромская;55,97;55,01
Курска;60,09;57,24
Липецкая;60,07;57,4
Московская;58,88;58,6
Рязанская;57,89;54,54
Смоленская ;57,13;52,48
Тамбовская;59,38;58,2
Тульская;56,95;63,26
Ярославская;57,27;52,6
Респ.Карелия;55,68;49,25
Респ.Коми;56,09;52,52
Архангельская;56,33;53,41
Вологодская;55,97;54,55
Калининградская;56,46;51,95
Ленинградская;55,09;55,09
Мурманская;56,79;58,3
Новгородская;54,58;51,8
Псковская;54,87;52,75
Респ.Адыгея;61,8;61,59
Респ.Дагестан;61,71;68,4
Респ.Ингушетия;68,69;72,17
Респ.Калмыкия;63,17;60,65
Карач-Черкесская;61,07;63,3
Краснодарский кр;61,87;64,21
Ставропольский кр;62,42;60,83
Астраханская обл;62,3;58,9
Волгоградская;59,3;59,04
Ростовская;60,62;60,5
Респ.Башкортостан;60,3;59,84
Респ.Мордовия;69,65;60,1
Респ.Татарстан;61,56;60,77
Удмуртская.респ;57,76;56,96
Кировская обл;58,33;54,75
Нижегородская;57,42;56,86
Оренбургская;58,95;59,39
Пензенская;59,83;57,6
Самарская;59,51;57,82
Саратовская;59,26;58,9
Ульяновская;59,44;56,92
Курганская;57,03;57,51
Свердловская;57,89;55,34
Тюменская;61,12;57,47
Ханты-Мансийск.а.о.;62,67;58,05
Ямало-Ненецкий а.о.;63,93;55,4
Челябинская;59,03;56,31
Респ.Алтай;56,34;53,34
Респ.Бурятия;55,24;53,98
Респ.Хакасия;56,11;50,77
Алтайский край;60,21;59,81
Краснояр.край;57,6;54,58
Иркутская;53,86;53,7
Кемеровская;55,31;55,51
Новосибирская;60,11;57,95
Омская;60,34;58,79
Томская;59,03;56,59
Читинская;53,16;55,24
приморский;57,77;55,85
Хабаровский;55,75;54,96
Амурская;55,55;54,88
Камчатская;58,14;54,78
Магаданская;57,42;57,31
Сахалинская;55,19;55,21
Еврейская а.о.;54,28;55,5
Чукотский а.о.;57,07;49,95
